Timestamp_ms,Escenario,Modo,Calidad,Satelites,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Rumbo,CrossTrack_m,AlongTrack_m,OdomFault,HealthScore,HealthMode,PowerState,ShutdownLatched,WaypointCount,BspBus,RadioDroppedPackets,Imu_Valid,Imu_Accel_X,Imu_Accel_Y,Imu_Accel_Z,Imu_Gyro_X,Imu_Gyro_Y,Imu_Gyro_Z,Gnss_Fix,Gnss_Lat,Gnss_Lon,Gnss_Alt,Gnss_Speed,Gnss_Course,Ekf_Active,Ekf_Outlier,Gnss_NIS,Gnss_Innov_N,Gnss_Innov_E,Gnss_Innov_D,Gnss_Accept_Count,Gnss_Reject_Count,Gnss_Update_Accepted,Ekf_Bias_Ax,Ekf_Bias_Ay,Ekf_Bias_Az,Ekf_Bias_Gx,Ekf_Bias_Gy,Ekf_Bias_Gz,Ekf_Att_Roll,Ekf_Att_Pitch,Ekf_Att_Yaw,Ekf_P_PosN,Ekf_P_PosE,Ekf_P_PosD,Ekf_P_VelN,Ekf_P_VelE,Ekf_P_VelD,Ekf_P_Roll,Ekf_P_Pitch,Ekf_P_Yaw,Ekf_P_BiasAx,Ekf_P_BiasAy,Ekf_P_BiasAz,Ekf_P_BiasGx,Ekf_P_BiasGy,Ekf_P_BiasGz,Desired_Heading,Desired_Speed,Desired_Climb,CrossTrack_Signed_m,Mission_State,Active_WP,Return_Home,Loop_us,Missed_Ticks,Max_Loop_us,Temperature_C
2000,CLEAN,GPS,0.850000,10,41.38742065,2.16891694,12.2679,7.180075,-12.597481,18.628353,299.6815,12.9092,19.3726,0,0,NOMINAL,0,0,4,0,0,1,-2.459301,0.018850,9.794991,0.001617,-0.000341,-17.294819,1,41.38742065,2.16891694,12.2679,14.500000,299.6815,1,1,52.525459,2.140143,19.512856,-0.250306,10,11,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.016451,0.006950,0.314850,1.156416,1.156402,1.101145,1.444167,1.444696,1.116206,0.189627,0.189627,0.202091,0.499933,0.499933,0.499937,0.100004,0.100004,0.100005,-1.016007,8.500000,1.183813,12.9092,3,1,0,15,0,44,25.00
2100,CLEAN,GPS,0.850000,10,41.38742828,2.16890359,12.3114,7.506388,-12.112665,19.608608,301.7871,11.9999,18.5328,0,0,NOMINAL,0,0,4,0,0,1,-2.441734,0.017593,9.802551,0.001478,-0.000471,0.368089,1,41.38742828,2.16890359,12.3114,14.250000,301.7871,1,1,46.247810,3.002706,18.335449,-0.293755,10,12,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.016245,0.007321,0.333250,1.210829,1.210826,1.141730,1.506312,1.507506,1.128827,0.191576,0.191575,0.204661,0.499933,0.499933,0.499937,0.100005,0.100005,0.100005,-0.982789,8.500000,1.208179,11.9999,3,1,0,8,0,44,25.00
2200,CLEAN,GPS,0.850000,10,41.38743591,2.16888857,12.4911,7.765860,-11.648666,20.588272,303.6903,10.9389,17.6661,0,0,NOMINAL,0,0,4,0,0,1,-2.457215,0.005701,9.796639,0.001321,-0.000597,0.332795,1,41.38743591,2.16888857,12.4911,14.000000,303.6903,1,1,40.069218,3.870884,17.020498,-0.473424,10,13,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.016055,0.007654,0.349887,1.268666,1.268683,1.183833,1.572446,1.574555,1.142307,0.193679,0.193679,0.207319,0.499934,0.499934,0.499938,0.100005,0.100005,0.100005,-0.939347,8.500000,1.206359,10.9389,3,1,0,8,0,44,25.00
2300,CLEAN,GPS,0.850000,10,41.38744354,2.16887546,12.5922,8.116828,-11.098631,21.568090,306.1794,10.0953,16.8149,0,0,NOMINAL,0,0,4,0,0,1,-2.452632,0.004960,9.798182,0.001148,-0.000718,0.435051,1,41.38744354,2.16887546,12.5922,13.750000,306.1794,1,1,35.344143,4.744618,15.866318,-0.574543,10,14,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.015826,0.008058,0.371635,1.330031,1.330085,1.227384,1.642361,1.645588,1.156620,0.195972,0.195971,0.210062,0.499934,0.499934,0.499938,0.100005,0.100005,0.100006,-0.900676,8.500000,1.219645,10.0953,3,1,0,8,0,44,25.00
2400,CLEAN,GPS,0.850000,10,41.38745117,2.16886330,12.7184,8.384588,-10.580581,22.549349,308.3951,9.3465,15.9588,0,0,NOMINAL,0,0,4,0,0,1,-2.442338,0.004494,9.812575,0.000962,-0.000834,0.387377,1,41.38745117,2.16886330,12.7184,13.500000,308.3951,1,1,31.585539,5.623839,14.793487,-0.700832,10,15,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.015619,0.008414,0.391001,1.395045,1.395158,1.272326,1.715856,1.720367,1.171739,0.198411,0.198410,0.212888,0.499935,0.499935,0.499939,0.100005,0.100005,0.100006,-0.862869,8.933486,1.228104,9.3465,3,1,0,7,0,44,25.00
2500,CLEAN,GPS,0.850000,10,41.38745880,2.16885161,12.8037,8.615955,-10.066171,23.528605,310.5613,8.7086,15.1107,0,0,NOMINAL,0,0,4,0,0,1,-2.456010,0.003565,9.792548,0.000763,-0.000942,0.378755,1,41.38745880,2.16885161,12.8037,13.250000,310.5613,1,1,28.542450,6.508532,13.762374,-0.786256,10,16,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.015418,0.008754,0.409935,1.463838,1.464042,1.318610,1.792472,1.798414,1.187665,0.200997,0.200997,0.215792,0.499936,0.499936,0.499939,0.100006,0.100006,0.100006,-0.827784,8.777679,1.244422,8.7086,3,1,0,8,0,44,25.00
2600,CLEAN,GPS,0.850000,10,41.38746643,2.16883945,12.9799,8.794622,-9.573642,24.508537,312.5715,8.0437,14.2447,0,0,NOMINAL,0,0,4,0,0,1,-2.457996,0.005076,9.799319,0.000556,-0.001043,0.351548,1,41.38746643,2.16883945,12.9799,13.000000,312.5715,1,1,25.938185,7.398659,12.693552,-0.962591,10,17,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.015234,0.009065,0.427510,1.536540,1.536874,1.366198,1.872191,1.879681,1.204373,0.203718,0.203717,0.218772,0.499936,0.499936,0.499940,0.100006,0.100006,0.100006,-0.788123,8.561186,1.243268,8.0437,3,1,0,11,0,44,25.00
2700,CLEAN,GPS,0.850000,10,41.38747406,2.16882944,13.0537,8.991016,-9.040139,25.489115,314.8439,15.4230,16.5084,0,0,NOMINAL,0,0,4,0,0,1,-2.451268,0.009162,9.805780,0.000342,-0.001136,0.397338,1,41.38747406,2.16882944,13.0537,12.750000,314.8439,1,1,24.337013,8.294157,11.805788,-1.036483,10,18,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.015033,0.009402,0.447374,1.613289,1.613801,1.415060,1.954885,1.964007,1.221833,0.206585,0.206585,0.221825,0.499937,0.499937,0.499940,0.100006,0.100006,0.100007,-0.478499,8.500000,1.784850,-15.4230,3,2,0,8,0,44,25.00
2800,CLEAN,GPS,0.850000,10,41.38748550,2.16882133,13.2990,11.096089,-5.755589,26.468660,332.5840,14.1261,15.9996,0,0,NOMINAL,0,0,4,0,0,1,-2.454117,0.001219,9.795462,0.000123,-0.001219,3.096984,1,41.38748550,2.16882133,13.2990,12.500000,332.5840,1,1,24.482275,9.618499,11.080019,-1.282033,10,19,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.013398,0.011636,0.601907,1.694224,1.694971,1.465170,2.041162,2.051650,1.240005,0.212313,0.212313,0.224948,0.499937,0.499937,0.499941,0.100006,0.100006,0.100007,-0.515292,8.500000,1.692767,-14.1261,3,2,0,8,0,44,25.00
2900,CLEAN,GPS,0.850000,10,41.38749695,2.16881418,13.4501,10.659324,-6.036664,27.450764,330.4760,12.9264,15.5230,0,0,NOMINAL,0,0,4,0,0,1,-2.452692,-0.006224,9.821024,-0.000097,-0.001293,-0.367167,1,41.38749695,2.16881418,13.4501,12.250000,330.4760,1,1,25.224266,10.947792,10.436651,-1.433455,10,20,0,-0.050844,0.000011,-0.000058,-0.000000,-0.001869,0.000005,-0.013615,0.011417,0.583549,1.779536,1.780576,1.516511,2.130655,2.142600,1.258861,0.215643,0.215642,0.228137,0.499938,0.499938,0.499941,0.100007,0.100007,0.100007,-0.554194,8.500000,1.622255,-12.9264,3,2,0,8,0,44,25.00
