time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1784316100610121200,130.46212133789064,1.899999976158142,1.100000023841858,3.299999952316284,3.180000066757202,17.47893714904785,65,58.2,1.4435383,41.1630133
1784316101610121200,131.46212133789064,2.200000047683716,1.100000023841858,3.299999952316284,3.2200000286102295,17.084144592285156,63,58.4,1.4437217,41.1630817
1784316102610121500,132.46212158203124,1.899999976158142,1,3.299999952316284,3.259999990463257,16.896785736083984,63,58.300000000000004,1.4439017,41.1631517
1784316103610121700,133.46212182617188,2.200000047683716,1.100000023841858,3.299999952316284,3.319999933242798,16.81288719177246,63,58.2,1.44408,41.1632183
1784316104610121700,134.46212182617188,1.899999976158142,1,3.299999952316284,3.359999895095825,16.352724075317383,63,57.800000000000004,1.4442533,41.163285
1784316105610121700,135.46212182617188,1.899999976158142,1,3.299999952316284,3.4000000953674316,16.26316261291504,63,57.6,1.4444267,41.16335
1784316106610122200,136.46212231445313,1.7999999523162842,1,3.299999952316284,3.4200000762939453,16.987377166748047,63,57.4,1.4446033,41.163415
1784316107610122200,137.46212231445313,1.5,0.8999999761581421,3.299999952316284,3.380000114440918,17.690488815307617,63,57.1,1.4447867,41.1634833
1784316108610122200,138.46212231445313,1.600000023841858,1,3.299999952316284,3.3399999141693115,18.62934112548828,62,56.800000000000004,1.4449783,41.1635583
1784316109610122500,139.46212255859376,1.7000000476837158,1,3.299999952316284,3.3399999141693115,19.182668685913086,62,56.4,1.4451767,41.163635
1784316110610122800,140.46212280273437,1.7999999523162842,1.100000023841858,3.299999952316284,3.3399999141693115,19.277891159057617,63,56.2,1.4453817,41.163715
1784316111610122800,141.46212280273437,1.7000000476837158,1,3.299999952316284,3.3399999141693115,19.372600555419922,62,55.7,1.445585,41.1637933
1784316112610123000,142.462123046875,1.600000023841858,1,3.299999952316284,3.380000114440918,19.44980812072754,62,55.300000000000004,1.4457883,41.1638717
1784316113610123300,143.46212329101562,1.600000023841858,1,3.299999952316284,3.4000000953674316,19.47091293334961,63,54.7,1.445995,41.1639517
1784316114610123300,144.46212329101562,1.5,1,3.299999952316284,3.4000000953674316,19.632535934448242,63,54.300000000000004,1.4462,41.16403
1784316115610123300,145.46212329101562,1.5,0.8999999761581421,3.299999952316284,3.4000000953674316,19.709228515625,63,54,1.44641,41.16411
1784316116610123500,146.46212353515625,1.5,0.8999999761581421,3.299999952316284,3.380000114440918,19.365909576416016,63,53.7,1.4466183,41.1641883
1784316117610123800,147.4621237792969,1.7000000476837158,1,3.299999952316284,3.380000114440918,19.25575828552246,62,53.5,1.446825,41.1642667
1784316118610123800,148.4621237792969,1.7999999523162842,1.100000023841858,3.299999952316284,3.4000000953674316,19.071487426757812,62,53.1,1.4470267,41.1643483
1784316119610124000,149.4621240234375,2,1.100000023841858,3.299999952316284,3.440000057220459,19.389585494995117,63,53,1.4472333,41.1644283
1784316120610124300,150.46212426757813,2.799999952316284,1.2999999523162842,3.299999952316284,3.4800000190734863,16.928699493408203,62,53,1.4474283,41.1645033
1784316121610124300,151.46212426757813,2.5,1.100000023841858,3.299999952316284,3.559999942779541,15.667115211486816,63,53.4,1.4476017,41.1645717
1784316122610124300,152.46212426757813,2.700000047683716,1.2000000476837158,3.299999952316284,3.5999999046325684,15.053565979003906,64,53.5,1.4477667,41.1646333
1784316123610124800,153.46212475585938,2.299999952316284,1.100000023841858,3.299999952316284,3.619999885559082,15.656820297241211,63,53.6,1.4479317,41.164695
1784316124610124800,154.46212475585938,2.0999999046325684,1.100000023841858,3.299999952316284,3.640000104904175,16.611629486083984,63,53.9,1.4481033,41.1647633
1784316125610124800,155.46212475585938,2.0999999046325684,1.100000023841858,3.299999952316284,3.6600000858306885,17.153118133544922,62,54.1,1.448285,41.1648333
1784316126610125300,156.46212524414062,2.200000047683716,1.2000000476837158,3.299999952316284,3.680000066757202,17.28179931640625,62,54.2,1.4484683,41.1649067
1784316127610125300,157.46212524414062,2.200000047683716,1.100000023841858,3.299999952316284,3.700000047683716,17.223634719848633,62,54.4,1.4486533,41.16498
1784316128610125600,158.46212548828126,2,1,3.299999952316284,3.700000047683716,17.37290382385254,63,54.2,1.4488383,41.16505
1784316129610125800,159.46212573242187,1.899999976158142,1,3.299999952316284,3.680000066757202,17.70232582092285,63,54.300000000000004,1.4490267,41.16512
1784316130610125800,160.46212573242187,1.899999976158142,1,3.299999952316284,3.6600000858306885,17.996232986450195,63,54.300000000000004,1.4492167,41.1651917
1784316131610126300,161.4621262207031,1.899999976158142,1,3.299999952316284,3.619999885559082,18.00343894958496,63,54.4,1.4494083,41.165265
1784316132610126300,162.4621262207031,2.200000047683716,1.100000023841858,3.299999952316284,3.5999999046325684,17.913877487182617,64,54.9,1.4496017,41.1653383
1784316133610126300,163.4621262207031,2.9000000953674316,1.2999999523162842,3.299999952316284,3.619999885559082,17.176280975341797,63,54.800000000000004,1.44979,41.1654067
1784316134610126800,164.462126953125,3.0999999046325684,1.2999999523162842,3.299999952316284,3.640000104904175,16.472654342651367,64,54.1,1.4499717,41.1654717
1784316135610126800,165.462126953125,2.4000000953674316,1.100000023841858,3.299999952316284,3.680000066757202,16.55449676513672,64,53.5,1.45015,41.1655333
1784316136610126800,166.462126953125,2.5,1.2000000476837158,3.299999952316284,3.7200000286102295,16.814945220947266,65,53.6,1.4503333,41.1655983
1784316137610127400,167.46212744140624,2,1,3.299999952316284,3.7200000286102295,17.623573303222656,64,53.4,1.4505217,41.1656617
1784316138610127400,168.46212744140624,1.899999976158142,1.100000023841858,3.299999952316284,3.680000066757202,18.372495651245117,65,53.2,1.4507167,41.1657283
1784316139610127600,169.46212768554688,2.200000047683716,1.100000023841858,3.299999952316284,3.640000104904175,19.132740020751953,64,53.5,1.4509183,41.1657983
1784316140610128000,170.4621279296875,1.899999976158142,1.100000023841858,3.200000047683716,3.5799999237060547,20.191009521484375,64,53.800000000000004,1.4511283,41.165875
1784316141610128000,171.4621279296875,2.0999999046325684,1.2000000476837158,3.200000047683716,3.5399999618530273,20.93684196472168,64,53.4,1.4513483,41.165955
1784316142610128100,172.46212817382812,2.200000047683716,1.2000000476837158,3.299999952316284,3.559999942779541,21.66362953186035,65,53.1,1.4515783,41.1660367
1784316143610128400,173.46212841796876,2.299999952316284,1.2999999523162842,3.200000047683716,3.5999999046325684,22.532995223999023,66,52.800000000000004,1.4518183,41.1661217
1784316144610128400,174.46212841796876,2,1.2999999523162842,3.299999952316284,3.6600000858306885,22.765134811401367,69,52.300000000000004,1.4520683,41.1662
1784316145610129000,175.46212890625,1.7999999523162842,1.2000000476837158,3.200000047683716,3.700000047683716,23.07808494567871,72,51.4,1.45233,41.166265
1784316146610129000,176.46212890625,1.600000023841858,1.2000000476837158,3.200000047683716,3.700000047683716,23.296842575073242,74,51.2,1.4525983,41.1663233
1784316147610129000,177.46212890625,1.399999976158142,1.100000023841858,3.200000047683716,3.6600000858306885,23.473907470703125,75,51.4,1.45287,41.1663767
1784316148610129200,178.46212915039064,1.100000023841858,0.8999999761581421,3.200000047683716,3.5999999046325684,23.867155075073242,76,51.6,1.4531467,41.1664283
1784316149610129400,179.46212939453125,1.100000023841858,0.8999999761581421,3.200000047683716,3.5199999809265137,23.891860961914062,76,51.9,1.4534233,41.16648
1784316150610129400,180.46212939453125,1.2000000476837158,1,3.200000047683716,3.440000057220459,23.95877456665039,75,51.9,1.4536983,41.1665333
1784316151610130000,181.4621298828125,1.2000000476837158,1,3.200000047683716,3.380000114440918,23.971128463745117,76,52.300000000000004,1.453975,41.16659
1784316152610130000,182.4621298828125,1.2000000476837158,1,3.200000047683716,3.3399999141693115,23.707590103149414,76,53.2,1.4542533,41.1666417
1784316153610130000,183.4621298828125,1.2999999523162842,1.100000023841858,3.200000047683716,3.319999933242798,23.489349365234375,76,54,1.454525,41.1666917
1784316154610130400,184.46213037109376,1.2000000476837158,1,3.200000047683716,3.299999952316284,22.988523483276367,75,54.6,1.454795,41.16674
1784316155610130400,185.46213037109376,1.399999976158142,1,3.200000047683716,3.299999952316284,22.552040100097656,73,55.1,1.4550583,41.1667933
1784316156610130700,186.46213061523437,1.7999999523162842,1.2000000476837158,3.200000047683716,3.299999952316284,21.894739151000977,69,55.300000000000004,1.4553133,41.1668567
1784316157610131000,187.462130859375,1.899999976158142,1.2000000476837158,3.200000047683716,3.299999952316284,21.53083038330078,68,55.6,1.4555583,41.16693
1784316158610131000,188.462130859375,1.5,1,3.200000047683716,3.299999952316284,20.980592727661133,68,55.5,1.4557933,41.1670033
1784316159610131200,189.46213110351562,1.899999976158142,1.100000023841858,3.200000047683716,3.319999933242798,20.989343643188477,68,55.300000000000004,1.4560267,41.1670717
