t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
430,0,1,0.226637,-4.666066,-0.446148,88.362381,-4.677218,-0.369662,-0.097823,0.369662,0.097823,0.382386,0.582948,1.208055,1.208055,12.172614,-0.066374,0.097593,0.044602,-0.002112,0.002146,-0.005714,0.126172,0.006459,0.021353,44
440,0,1,0.156568,-4.578511,-0.381783,87.978996,-4.585320,-0.323764,-0.055301,0.323764,0.055301,0.328453,0.600501,1.191152,1.191152,8.402107,-0.058936,0.073272,0.028079,-0.002019,0.001141,-0.004912,0.098136,0.005432,0.016157,45
450,0,1,0.091879,-4.514019,-0.333210,87.628700,-4.518432,-0.281323,-0.021504,0.281323,0.021504,0.282144,0.607872,1.165431,1.165431,5.935536,-0.051942,0.056601,0.015104,-0.001974,0.000358,-0.004231,0.078293,0.004683,0.012552,46
460,0,1,0.032336,-4.465278,-0.297323,87.306839,-4.468704,-0.242513,0.004945,0.242513,-0.004945,0.242564,0.607674,1.134909,1.134909,4.341272,-0.045359,0.045242,0.005069,-0.001950,-0.000257,-0.003636,0.064265,0.004134,0.010071,47
470,0,1,-0.022224,-4.426523,-0.271470,87.010315,-4.429975,-0.207306,0.025448,0.207306,-0.025448,0.208863,0.602127,1.102276,1.102276,3.316871,-0.039219,0.037466,-0.002638,-0.001927,-0.000737,-0.003104,0.054303,0.003728,0.008356,48
480,0,1,-0.072026,-4.394547,-0.253580,86.737144,-4.398753,-0.175527,0.041209,0.175527,-0.041209,0.180299,0.592935,1.069011,1.069011,2.660603,-0.033539,0.032078,-0.008532,-0.001897,-0.001109,-0.002626,0.047188,0.003424,0.007160,49
490,0,1,-0.117310,-4.366892,-0.242000,86.485733,-4.372374,-0.146947,0.053196,0.146947,-0.053196,0.156279,0.581399,1.036104,1.036104,2.241126,-0.028330,0.028284,-0.013015,-0.001852,-0.001392,-0.002193,0.042095,0.003190,0.006317,50
500,0,1,-0.158323,-4.341656,-0.235418,86.254562,-4.348779,-0.121314,0.062169,0.121314,-0.062169,0.136316,0.568479,1.004215,1.004215,1.972908,-0.023587,0.025558,-0.016398,-0.001792,-0.001601,-0.001802,0.038451,0.003004,0.005715,51
510,0,1,-0.195343,-4.317807,-0.232813,86.042343,-4.326827,-0.098372,0.068705,0.098372,-0.068705,0.119989,0.554835,0.973632,0.973632,1.799452,-0.019291,0.023537,-0.018909,-0.001716,-0.001747,-0.001450,0.035828,0.002846,0.005277,52
520,0,1,-0.228672,-4.294970,-0.233380,85.847725,-4.306053,-0.077879,0.073268,0.077879,-0.073268,0.106927,0.540880,0.944394,0.944394,1.684036,-0.015415,0.021980,-0.020721,-0.001625,-0.001844,-0.001136,0.033913,0.002708,0.004949,53
530,0,1,-0.258550,-4.272283,-0.236419,85.669319,-4.285531,-0.059624,0.076232,0.059624,-0.076232,0.096779,0.526945,0.916733,0.916733,1.603056,-0.011934,0.020731,-0.021980,-0.001521,-0.001898,-0.000856,0.032485,0.002578,0.004695,54
540,0,1,-0.285303,-4.250271,-0.241437,85.505852,-4.265740,-0.043403,0.077894,0.043403,-0.077894,0.089170,0.513127,0.890318,0.890318,1.541024,-0.008817,0.019672,-0.022778,-0.001405,-0.001921,-0.000609,0.031362,0.002456,0.004489,55
550,0,1,-0.309090,-4.227591,-0.247890,85.355774,-4.245292,-0.029056,0.078516,0.029056,-0.078516,0.083720,0.499658,0.865655,0.865655,1.489058,-0.006045,0.018750,-0.023230,-0.001281,-0.001913,-0.000392,0.030458,0.002335,0.004315,56
