t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10640,1,1,-0.163250,1.565035,0.187324,96.112137,1.584625,-0.003256,0.005330,0.003256,-0.005330,0.006246,0.267697,0.455258,0.455258,0.007841,-0.001366,-0.000327,-0.002231,-0.000071,-0.000257,-0.000085,0.002636,0.000280,0.000624,65
10650,1,1,-0.153025,1.469641,0.178017,96.111755,1.488258,-0.003226,0.005468,0.003226,-0.005468,0.006348,0.265615,0.451906,0.451906,0.008199,-0.001359,-0.000341,-0.002278,-0.000071,-0.000269,-0.000085,0.002675,0.000291,0.000637,66
10660,1,1,-0.142984,1.374326,0.168692,96.110916,1.391989,-0.002977,0.005746,0.002977,-0.005746,0.006472,0.263391,0.448322,0.448322,0.008861,-0.001306,-0.000363,-0.002400,-0.000068,-0.000288,-0.000080,0.002756,0.000306,0.000663,67
10670,1,1,-0.132761,1.278743,0.159072,96.109886,1.295403,-0.002885,0.006008,0.002885,-0.006008,0.006665,0.261106,0.444728,0.444728,0.009588,-0.001292,-0.000391,-0.002502,-0.000068,-0.000307,-0.000078,0.002843,0.000324,0.000686,68
10680,1,1,-0.122605,1.183150,0.149348,96.109070,1.198805,-0.002718,0.006338,0.002718,-0.006338,0.006896,0.258676,0.440718,0.440718,0.010534,-0.001265,-0.000417,-0.002635,-0.000067,-0.000329,-0.000074,0.002952,0.000344,0.000717,69
10690,1,1,-0.112391,1.087451,0.139142,96.108353,1.102040,-0.002657,0.006422,0.002657,-0.006422,0.006950,0.256149,0.436527,0.436527,0.010782,-0.001243,-0.000429,-0.002650,-0.000066,-0.000338,-0.000073,0.002959,0.000352,0.000718,70
10700,1,1,-0.102143,0.991744,0.128907,96.107132,1.005264,-0.002579,0.006705,0.002579,-0.006705,0.007184,0.253545,0.432213,0.432213,0.011681,-0.001233,-0.000457,-0.002751,-0.000066,-0.000358,-0.000071,0.003049,0.000371,0.000740,71
10710,1,1,-0.091754,0.895858,0.118525,96.105492,0.908279,-0.002598,0.007106,0.002598,-0.007106,0.007566,0.250889,0.427751,0.427751,0.013069,-0.001257,-0.000493,-0.002893,-0.000068,-0.000384,-0.000072,0.003192,0.000397,0.000774,72
10720,1,1,-0.081500,0.799676,0.107775,96.104263,0.810974,-0.002491,0.007356,0.002491,-0.007356,0.007766,0.248157,0.423116,0.423116,0.013934,-0.001236,-0.000514,-0.002973,-0.000067,-0.000403,-0.000070,0.003261,0.000415,0.000791,73
10730,1,1,-0.071000,0.703482,0.096927,96.102768,0.713621,-0.002594,0.007791,0.002594,-0.007791,0.008211,0.245344,0.418244,0.418244,0.015618,-0.001283,-0.000547,-0.003115,-0.000070,-0.000432,-0.000073,0.003413,0.000444,0.000827,74
10740,1,1,-0.060811,0.606861,0.085802,96.100037,0.615848,-0.002342,0.008149,0.002342,-0.008149,0.008479,0.242539,0.413189,0.413189,0.016948,-0.001236,-0.000562,-0.003239,-0.000068,-0.000457,-0.000066,0.003512,0.000467,0.000856,75
10750,1,1,-0.050399,0.510152,0.074502,96.098099,0.517944,-0.002295,0.008639,0.002295,-0.008639,0.008939,0.239619,0.408052,0.408052,0.018985,-0.001249,-0.000594,-0.003402,-0.000069,-0.000490,-0.000065,0.003672,0.000499,0.000896,76
10760,1,1,-0.040033,0.413455,0.062722,96.094887,0.419997,-0.002252,0.008893,0.002252,-0.008893,0.009174,0.236663,0.402639,0.402639,0.020084,-0.001243,-0.000599,-0.003461,-0.000069,-0.000508,-0.000064,0.003726,0.000517,0.000912,77
10770,1,1,-0.029706,0.316458,0.050750,96.091873,0.321736,-0.002130,0.009236,0.002130,-0.009236,0.009478,0.233653,0.397155,0.397155,0.021590,-0.001226,-0.000608,-0.003556,-0.000069,-0.000533,-0.000060,0.003810,0.000540,0.000937,78
10780,1,1,-0.019255,0.219434,0.038308,96.089149,0.223375,-0.002176,0.009418,0.002176,-0.009418,0.009666,0.230569,0.391702,0.391702,0.022456,-0.001234,-0.000618,-0.003576,-0.000069,-0.000547,-0.000062,0.003833,0.000555,0.000941,79
10790,1,1,-0.008826,0.122269,0.026057,96.086281,0.124904,-0.002094,0.010066,0.002094,-0.010066,0.010282,0.227458,0.386265,0.386265,0.025577,-0.001247,-0.000660,-0.003781,-0.000070,-0.000589,-0.000059,0.004036,0.000596,0.000987,80
10800,1,1,0.001535,0.025024,0.013592,96.082535,0.026334,-0.001931,0.010772,0.001931,-0.010772,0.010944,0.224329,0.380466,0.380466,0.029192,-0.001248,-0.000681,-0.004001,-0.000071,-0.000634,-0.000053,0.004246,0.000640,0.001046,81
10810,1,1,0.012010,-0.072297,0.000103,96.078720,-0.072458,-0.002034,0.010809,0.002034,-0.010809,0.010999,0.221141,0.374440,0.374440,0.029418,-0.001259,-0.000648,-0.003946,-0.000071,-0.000639,-0.000058,0.004192,0.000646,0.001044,82
10820,1,1,0.022323,-0.169953,-0.013071,96.074799,-0.171520,-0.001820,0.011444,0.001820,-0.011444,0.011588,0.217965,0.368764,0.368764,0.032869,-0.001241,-0.000673,-0.004131,-0.000071,-0.000680,-0.000050,0.004365,0.000686,0.001090,83
10830,1,1,0.032626,-0.267788,-0.026463,96.070290,-0.270784,-0.001568,0.012191,0.001568,-0.012191,0.012292,0.214777,0.362862,0.362862,0.037192,-0.001225,-0.000686,-0.004348,-0.000071,-0.000728,-0.000041,0.004569,0.000733,0.001151,84
