t_ms,gps_outage,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_max,dx_vel,dx_att,dx_pos,nhc_count
1070,0,-0.621642,-4.769731,-1.233932,82.996132,-4.965076,0.041489,0.075206,-0.041489,-0.075206,0.085891,0.397731,0.034546,0.002355,0.013153,108
1080,0,-0.624674,-4.778204,-1.259024,82.952980,-4.979893,0.039897,0.075332,-0.039897,-0.075332,0.085245,0.404009,0.034786,0.002329,0.013373,109
1090,0,-0.627813,-4.786421,-1.284266,82.907829,-4.994614,0.038257,0.075445,-0.038257,-0.075445,0.084591,0.410265,0.035025,0.002302,0.013591,110
1100,0,-0.631066,-4.794385,-1.309654,82.860596,-5.009244,0.036570,0.075545,-0.036570,-0.075545,0.083931,0.416517,0.035263,0.002275,0.013809,111
1110,0,-0.634443,-4.802095,-1.335180,82.811172,-5.023786,0.034833,0.075629,-0.034833,-0.075629,0.083265,0.422732,0.035499,0.002247,0.014025,112
1120,0,-0.637953,-4.809555,-1.360836,82.759422,-5.038239,0.033046,0.075697,-0.033046,-0.075697,0.082596,0.428896,0.035733,0.002220,0.014239,113
1130,0,-0.641604,-4.816765,-1.386617,82.705276,-5.052610,0.031208,0.075748,-0.031208,-0.075748,0.081925,0.434997,0.035964,0.002193,0.014452,114
1140,0,-0.645405,-4.823729,-1.412515,82.648636,-5.066903,0.029320,0.075779,-0.029320,-0.075779,0.081254,0.441016,0.036191,0.002167,0.014664,115
1150,0,-0.649366,-4.830451,-1.438524,82.589394,-5.081121,0.027379,0.075790,-0.027379,-0.075790,0.080584,0.446928,0.036413,0.002141,0.014872,116
1160,0,-0.653497,-4.836936,-1.464635,82.527412,-5.095270,0.025386,0.075781,-0.025386,-0.075781,0.079920,0.452730,0.036632,0.002116,0.015079,117
1170,0,-0.657806,-4.843186,-1.490842,82.462624,-5.109353,0.023340,0.075748,-0.023340,-0.075748,0.079263,0.458402,0.036846,0.002093,0.015283,118
1180,0,-0.662303,-4.849206,-1.517138,82.394897,-5.123375,0.021238,0.075692,-0.021238,-0.075692,0.078615,0.463917,0.037055,0.002071,0.015485,119
1190,0,-0.666997,-4.855002,-1.543515,82.324135,-5.137343,0.019081,0.075609,-0.019081,-0.075609,0.077979,0.469250,0.037258,0.002050,0.015683,120
1200,0,-0.671899,-4.860579,-1.569966,82.250237,-5.151261,0.016869,0.075498,-0.016869,-0.075498,0.077359,0.474381,0.037455,0.002032,0.015879,121
1210,0,-0.677019,-4.865942,-1.596484,82.173058,-5.165135,0.014597,0.075357,-0.014597,-0.075357,0.076758,0.479283,0.037645,0.002017,0.016072,122
1220,0,-0.682367,-4.871098,-1.623061,82.092514,-5.178972,0.012269,0.075183,-0.012269,-0.075183,0.076178,0.483928,0.037828,0.002004,0.016260,123
1230,0,-0.687953,-4.876052,-1.649690,82.008476,-5.192776,0.009881,0.074975,-0.009881,-0.074975,0.075623,0.488277,0.038003,0.001994,0.016445,124
1240,0,-0.693788,-4.880812,-1.676363,81.920868,-5.206556,0.007435,0.074727,-0.007435,-0.074727,0.075096,0.492285,0.038168,0.001987,0.016626,125
1250,0,-0.699884,-4.885388,-1.703072,81.829552,-5.220321,0.004928,0.074440,-0.004928,-0.074440,0.074602,0.495907,0.038323,0.001984,0.016801,126
1260,0,-0.706250,-4.889790,-1.729810,81.734428,-5.234079,0.002363,0.074109,-0.002363,-0.074109,0.074147,0.499132,0.038468,0.001986,0.016972,127
1270,0,-0.712900,-4.894025,-1.756566,81.635391,-5.247838,-0.000262,0.073732,0.000262,-0.073732,0.073733,0.501892,0.038603,0.001991,0.017138,128
1280,0,-0.719844,-4.898103,-1.783335,81.532310,-5.261605,-0.002947,0.073307,0.002947,-0.073307,0.073366,0.504154,0.038727,0.002001,0.017299,129
1290,0,-0.727094,-4.902033,-1.810106,81.425163,-5.275391,-0.005689,0.072827,0.005689,-0.072827,0.073049,0.505856,0.038838,0.002016,0.017454,130
1300,0,-0.734663,-4.905827,-1.836871,81.313759,-5.289203,-0.008488,0.072290,0.008488,-0.072290,0.072787,0.506936,0.038937,0.002037,0.017603,131
1310,0,-0.742563,-4.909497,-1.863621,81.198082,-5.303054,-0.011342,0.071691,0.011342,-0.071691,0.072583,0.507344,0.039021,0.002062,0.017745,132
1320,0,-0.750807,-4.913055,-1.890347,81.078018,-5.316953,-0.014247,0.071026,0.014247,-0.071026,0.072441,0.507008,0.039090,0.002092,0.017881,133
1330,0,-0.759407,-4.916515,-1.917040,80.953506,-5.330912,-0.017200,0.070289,0.017200,-0.070289,0.072363,0.505851,0.039142,0.002128,0.018008,134
1340,0,-0.768377,-4.919891,-1.943689,80.824501,-5.344944,-0.020197,0.069476,0.020197,-0.069476,0.072352,0.503796,0.039176,0.002168,0.018127,135
1350,0,-0.777731,-4.923201,-1.970284,80.690933,-5.359063,-0.023231,0.068583,0.023231,-0.068583,0.072410,0.500767,0.039191,0.002214,0.018237,136
1360,0,-0.787483,-4.926462,-1.996816,80.552780,-5.373282,-0.026297,0.067603,0.026297,-0.067603,0.072538,0.496668,0.039184,0.002265,0.018337,137
1370,0,-0.797646,-4.929694,-2.023272,80.410034,-5.387621,-0.029386,0.066534,0.029386,-0.066534,0.072735,0.491414,0.039155,0.002320,0.018428,138
1380,0,-0.808234,-4.932917,-2.049643,80.262733,-5.402094,-0.032487,0.065372,0.032487,-0.065372,0.072999,0.484960,0.039104,0.002380,0.018508,139
1390,0,-0.819262,-4.936150,-2.075916,80.110878,-5.416718,-0.035589,0.064111,0.035589,-0.064111,0.073327,0.477191,0.039029,0.002443,0.018577,140
